Tree Node ID,Tree Node Label
magid_2029527003_3,1
magid_2035918000_1,0
magid_2035918003_3,1
magid_2044078007_4,0
magid_2049941000_74,1
magid_2061766007_49,1
magid_2065487014_2,0
magid_2084038008_1,1
magid_2225789004_15,0
magid_2228664000_9,0
magid_2236876025_8,0
magid_3300000036_3,0
magid_3300000059_15,0
magid_3300000062_46,0
magid_3300000838_1,1
magid_3300000839_23,0
magid_3300001477_3,0
magid_3300001484_5,1
magid_3300001598_28,0
magid_3300001919_2,1
magid_3300002155_1,0
magid_3300002185_6,1
magid_3300002308_9,0
magid_3300002462_32,0
magid_3300002501_6,0
magid_3300002504_10,1
magid_3300002509_6,1
magid_3300002834_2,1
magid_3300002931_12,0
magid_3300002934_4,0
magid_3300003109_1,1
magid_3300003140_7,0
magid_3300003146_19,0
magid_3300003523_34,0
magid_3300004625_4,0
magid_3300005262_10,1
magid_3300005272_1,0
magid_3300005289_17,0
magid_3300005460_70,0
magid_3300005562_6,0
magid_3300005661_7,1
magid_3300005721_7,1
magid_3300005985_22,0
magid_3300006020_6,1
magid_3300006038_13,0
magid_3300006045_69,0
magid_3300006051_11,0
magid_3300006177_14,0
magid_3300006186_13,0
magid_3300006195_11,0
magid_3300006212_1,0
magid_3300006215_1,0
magid_3300006226_79,1
magid_3300006237_14,0
magid_3300006238_2,1
magid_3300006242_1,0
magid_3300006243_4,1
magid_3300006244_1,0
magid_3300006245_1,0
magid_3300006246_1,1
magid_3300006247_21,0
magid_3300006248_2,1
magid_3300006249_13,0
magid_3300006250_9,1
magid_3300006251_2,1
magid_3300006252_1,1
magid_3300006253_43,0
magid_3300006254_5,0
magid_3300006255_9,1
magid_3300006256_21,0
magid_3300006257_9,1
magid_3300006258_11,1
magid_3300006259_20,1
magid_3300006260_11,0
magid_3300006261_1,0
magid_3300006262_9,1
magid_3300006284_3,1
magid_3300006286_1,0
magid_3300006288_3,1
magid_3300006289_8,1
magid_3300006290_4,0
magid_3300006292_11,0
magid_3300006294_1,0
magid_3300006295_4,0
magid_3300006296_4,1
magid_3300006297_2,0
magid_3300006298_6,1
magid_3300006299_2,0
magid_3300006307_5,0
magid_3300006312_6,1
magid_3300006317_10,0
magid_3300006319_8,0
magid_3300006320_37,0
magid_3300006321_10,1
magid_3300006322_3,0
magid_3300006328_9,0
magid_3300006333_11,1
magid_3300006348_8,1
magid_3300006353_11,0
magid_3300006429_2,0
magid_3300006441_2,0
magid_3300006456_6,1
magid_3300006458_6,0
magid_3300006459_4,0
magid_3300006460_23,0
magid_3300006461_3,0
magid_3300006462_6,1
magid_3300006463_18,1
magid_3300006464_40,1
magid_3300006476_3,1
magid_3300006477_14,1
magid_3300006479_11,0
magid_3300006487_4,0
magid_3300006488_8,0
magid_3300006491_1,0
magid_3300006498_18,0
magid_3300006499_23,0
magid_3300006501_1,1
magid_3300006502_7,0
magid_3300006510_1,0
magid_3300006522_4,0
magid_3300006523_9,1
magid_3300006524_40,0
magid_3300006525_18,1
magid_3300006560_1,1
magid_3300006564_20,1
magid_3300006566_25,0
magid_3300006568_5,0
magid_3300006676_2,0
magid_3300006677_1,0
magid_3300006678_6,0
magid_3300006722_6,0
magid_3300006723_1,0
magid_3300006725_1,1
magid_3300006739_5,0
magid_3300006740_1,0
magid_3300006742_5,0
magid_3300006743_9,1
magid_3300006744_9,0
magid_3300006745_3,0
magid_3300006746_4,0
magid_3300006747_8,1
magid_3300006748_16,0
magid_3300006832_7,1
magid_3300006836_1,0
magid_3300006844_34,0
magid_3300006846_13,0
magid_3300006847_27,1
magid_3300006854_57,0
magid_3300006877_1,0
magid_3300006880_18,0
magid_3300006898_1,1
magid_3300006931_17,0
magid_3300006979_1,0
magid_3300006980_1,1
magid_3300006991_1,1
magid_3300006995_1,0
magid_3300007002_2,0
magid_3300007024_1,1
magid_3300007034_1,1
magid_3300007035_7,0
magid_3300007039_3,0
magid_3300007042_1,1
magid_3300007043_6,1
magid_3300007047_3,0
magid_3300007052_3,0
magid_3300007054_5,1
magid_3300007055_1,1
magid_3300007062_3,0
magid_3300007065_3,1
magid_3300007067_6,0
magid_3300007068_7,0
magid_3300007079_4,1
magid_3300007080_6,0
magid_3300007083_3,1
magid_3300007091_4,0
magid_3300007093_7,0
magid_3300007095_5,1
magid_3300007096_6,1
magid_3300007097_3,1
magid_3300007098_2,1
magid_3300007100_18,0
magid_3300007104_1,0
magid_3300007105_6,0
magid_3300007107_20,1
magid_3300007108_7,0
magid_3300007109_9,0
magid_3300007111_8,1
magid_3300007119_20,0
magid_3300007120_2,0
magid_3300007121_18,0
magid_3300007123_21,0
magid_3300007124_10,0
magid_3300007125_28,0
magid_3300007126_5,0
magid_3300007127_1,1
magid_3300007128_8,0
magid_3300007129_6,0
magid_3300007131_3,1
magid_3300007132_4,0
magid_3300007135_12,0
magid_3300007139_3,1
magid_3300007140_3,0
magid_3300007141_3,1
magid_3300007142_4,0
magid_3300007145_1,1
magid_3300007184_24,0
magid_3300007186_5,1
magid_3300007188_9,0
magid_3300007190_5,0
magid_3300007192_6,0
magid_3300007194_6,0
magid_3300007196_8,0
magid_3300007204_8,1
magid_3300007206_13,0
magid_3300007208_6,1
magid_3300007210_22,0
magid_3300007220_16,0
magid_3300007222_30,1
magid_3300007259_1,1
magid_3300007262_4,1
magid_3300007268_1,0
magid_3300007270_5,0
magid_3300007272_19,0
magid_3300007285_4,1
magid_3300007288_8,1
magid_3300007292_5,1
magid_3300007294_4,0
magid_3300007295_17,0
magid_3300007296_21,1
magid_3300007297_9,0
magid_3300007298_17,1
magid_3300007299_18,0
magid_3300007300_9,1
magid_3300007302_1,1
magid_3300007303_1,1
magid_3300007305_17,1
magid_3300007307_2,1
magid_3300007311_2,1
magid_3300007312_5,0
magid_3300007313_1,0
magid_3300007314_6,0
magid_3300007315_11,0
magid_3300007316_16,0
magid_3300007317_7,1
magid_3300007318_4,1
magid_3300007320_6,0
magid_3300007335_20,1
magid_3300007339_7,0
magid_3300007347_9,0
magid_3300007348_10,0
magid_3300007353_4,1
magid_3300007355_11,0
magid_3300007356_12,1
magid_3300007357_5,0
magid_3300007358_11,0
magid_3300007360_9,0
magid_3300007361_24,1
magid_3300007362_13,0
magid_3300007364_1,0
magid_3300007366_1,1
magid_3300007368_5,0
magid_3300007497_7,0
magid_3300007498_15,0
magid_3300007499_5,0
magid_3300007500_43,0
magid_3300007501_21,0
magid_3300007502_9,1
magid_3300007524_12,0
magid_3300007525_5,0
magid_3300007527_11,0
magid_3300007530_2,1
magid_3300007531_11,0
magid_3300007566_20,0
magid_3300007638_9,0
magid_3300007641_11,0
magid_3300007646_13,1
magid_3300007648_4,0
